"syntax","description","expression","tio_link"
"↑Y","Mix: Remove nesting (adding trailing axes)","⎕← ↑ (6 4) 5 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQetU1U0DBTMNFUMFUw/v8fAA"
"↑Yv","Vector of row vectors to matrix","⎕← ↑ 'Hip' 'Hop'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQetU1UUPfILFAHkvkF6v//AwA"
"Is↑Yv","Padding Yv on the right to width Is","⎕← 5 ↑ 3 1 4
⎕← ¯5 ↑ 3 1 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRMFR61TVQwVjBUMOGCCh1ajyT4/z8A"
"Is↑Ym","Take Is rows from matrix Ym","mat ← 3 4⍴⍳12
⎕← ¯2 ↑ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSR0aL0RUGqiAlDJ//8A"
"Iv↑Y","Take Iv items along leading axes of Y","mat ← 3 4⍴⍳12
⎕← 2 ¯3 ↑ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkpHBovTFQcqICUNH//wA"
"Iv↑Ys","Padding Ys to shape Iv","⎕← ¯2 3 ↑ 7","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOrTdSMFZ41DZRwfz/fwA"
"⍴Y","Shape: Length of each axis of Y","mat ← 3 4⍴⍳12
⎕← ⍴ mat
⎕← ⍴⍴ mat
⎕← ⍴ 'your boat'
⎕← ⍴ 7
⎕← ⍴⍴ 7","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSQE5CsApZG4mCIK6pX5pUUKSfmJJerIwuZousz//wcA"
"Iv⍴Y","Reshape Y to have shape Iv","⎕← 2 3 4 ⍴ 1 2 3 4 5 6 7","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFIwVTBQe9W5RMISyTRXMFMz//wcA"
"*N","e raised to the power N","⎕← * 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0FAwUDBWM/v8HAA"
"M*N","M raised to the power N","⎕← 49 5 ¯4 * 0.5 2 0.5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRMLBVMFQ6tN1HQUjDQM1UwApH//wMA"
"⍟N","Natural logarithm of N","⎕← ⍟ 1 2 3 2.7182818285","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9c5XMFQwUjBWMNIzN7QwsgBh0///AQ"
"M⍟N","Base-M logarithm of N","⎕← 2 10 ⍟ 32 1000","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFAwNFB71zlcwBrEMDP7/BwA"
"○N","pi times N","⎕← ○ 0 1 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQeTe9WMFAwVDD6/x8A"
"I○N","Circular functions","⎕← 1 ○ 0 1.5707963 3.1415927
⎕← 2 ○ 0 1.5707963 3.1415927
⎕← 3 ○ 0 1.5707963 3.1415927","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFR5N71YwUDDUMzU3MLc0M1Yw1jM0MTS1NDLngioxIqzEGLeS//8B"
"~B","Logical inverse (NOT): 0=B","⎕← ~ 0 1 0 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTqFAwUDEH4/38A"
"Xv~Y","Without: (~Xv∊Y)/Xv","⎕← 3 1 4 1 5 ~ 5 1
⎕← 'aa' 'bb' 'cc' 'bb'  ~ 'bb' 'xx'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQwVTIDYVKEOiA25oMLqiYnqCupJSUAiORnKAqqAiFRUqP//DwA"
"X f⍨Y","Commute (C-combinator): same as Y f X","⎕← 2 ⍴ 3
⎕← 2 ⍴⍨ 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFB71blEw5kLmPupdoWD8/z8A"
"X f⍨Y","Church Boolean Logical Inverse","⎕← 'true' ⊣ 'false'
⎕← 'true' ⊣⍨ 'false'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtVlBPS8wpTlXnwpB51LsCJvn/PwA"
