"syntax","description","expression","tio_link"
"⎕D","The digits from 0 to 9","∇ r←Foo
  :Trap 0
      ÷0
  :EndTrap
  r←⎕EN
∇
⎕← Foo","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJbvn5XAoKViFFiQUKBkAWCBzeDmJZuealgISBTJDCR31TXf24gNq4gCwgXwGo8/9/AA"
"⎕LOAD file","Load saved workspace","'fileA' ⎕FCREATE 0
'fileB' ⎕FCREATE 0
⎕← ⎕FLIB '.'","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUV3hUd9UN@cgV8cQVwUDLrCgE5ogkPOobQJYzMfTSUFdT/3/fwA"
"⎕SE","Session object","∇ r←foo
  r←goo
∇
∇ r←goo
  r←⎕SI
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJafn5XApgVjqQBRTlgsmkw2Ue9U0N9gSJ//8PVA4A"
"⎕LX←expression","Expression to be executed when workspace is loaded","var←42
∇ r←Foo
  r←var
∇
Sum←+⌿
Swap←{⍵ ⍺⍺ ⍺}

⎕← ⎕NC '42' 'nothing' 'var' 'Foo' 'Sum' 'Swap'","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkcd7Qogplt@PpcCmAWUAolyBZfmAnnaj3r2cwWXJxYA2dWPercqPOrdBUQgqpaL61HfVKC4ApDyc1ZQNzFSV1DPyy/JyMxLB7KABgFJoMFAEmgYiASao/7/PwA"
"⎕PATH ←nss","Set search path (blank-separated list of namespace names) for functions and operators","∇ r←foo
 ⍝ next line is line 2
  r←goo
∇
∇ r←goo
  r←⎕LC  ⍝ this is line 1
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJafn5XAqPeucq5KVWlCjkZOalKmQWQ2gjLgWwknSgEqByLpgWEB8i86hvqo@zAlh7SQZQG0ynIUjt//9AswE"
"⎕RL←⍬ 1","Seed and Random Number Generator used by Roll/Deal","⎕RL←314
⎕←?10 10 10
⎕RL←314
⎕←?10 10 10
⎕RL←⍬ 1
⎕←?10 10 10
⎕RL←⍬ 1
⎕←?10 10 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1CCfR20TjA1NuIBsIMve0EABjLiIkXvUu0bBkDTZ//8B"
"⎕USING ←ns_specs","Set search path for .NET Namespace(s)","Foo←{
    ⍺←2
    ⍵*÷⍺
}

⎕← ⎕NR 'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhGouBSB41LsLyDaCsrdqHd4OFOGq5eJ61DcVKKEApPyCFNSBWtT//wcA"
"file←⎕NNAMES","Names of tied files in same order as ⎕NNUMS","Foo←{
    ⍺←2
    ⍵*÷⍺
}

⎕← ⎕CR 'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhGouBSB41LsLyDaCsrdqHd4OFOGq5eJ61DcVKKEApJyDFNSBWtT//wcA"
"script←⎕SRC ref","The source code of an object","⎕← ⎕CSV ⊂'here,42,there' 'this,1966,that'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlHNwmMKjrib1jNSiVB0TI50SEENdQb0kI7NYx9DSzAwoklii/v8/AA"
"space_names←⎕NSI","Names of spaces from which functions on stack were called",":Namespace yy
     ∇ r←foo
       r←zz.goo
     ∇
:EndNamespace
:Namespace zz
     'display'⎕CY'dfns'
     ∇ r←goo
       r←display ⎕SI,[1.5]⎕NSI
     ∇
:EndNamespace","https://tio.run/##SyzI0U2pTMzJT///38ovMTe1uCAxOVWhspJLAQQedbQrFD1qm5CWnw8RUABzq6r00mEiQCVcVq55KXDNXEjmVFVBFKmnZBYX5CRWqj/qm@ocqZ6SllesjmpDOqoNUPUKQPXBnjrRhnqmsUCmX7AnDkv//9f0C1aoqODSdAZTysp6lZV6QGcDAA"
"space_references←⎕RSI","References to spaces from which functions on stack were called",":Namespace yy
     ∇ r←foo
       r←zz.goo
     ∇
:EndNamespace
:Namespace zz
     'display'⎕CY'dfns'
     ∇ r←goo
       r←display ⎕SI,[1.5]⎕RSI
     ∇
:EndNamespace","https://tio.run/##SyzI0U2pTMzJT///38ovMTe1uCAxOVWhspJLAQQedbQrFD1qm5CWnw8RUABzq6r00mEiQCVcVq55KXDNXEjmVFVBFKmnZBYX5CRWqj/qm@ocqZ6SllesjmpDOqoNUPUKQPXBnjrRhnqmsUBmULAnDkv//9f0C1aoqODSdAZTysp6lZV6QGcDAA"
"messages←⎕EM codes","Event messages corresponding to error/interrupt codes","⎕←⎕EM 3 6 1003 1006","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4Ckq6@CsYKZgqGBgTGIMPv/HwA"
"bytes←⎕NSIZE tn","Current size of file tied with number tn","'abc' ⎕NPUT 'file.txt'
tn ← 'file.txt' ⎕NTIE 0
⎕← ⎕NSIZE tn","https://tio.run/##SyzI0U2pTMzJT///Xz0xKVld4VHfVL@A0BAF9bTMnFS9kooSda6SPIVHbROQRMCKQjxdFQy4gCyQHEgg2DPKVaEk7/9/AA"
"bytes←⎕SIZE names","Space consumed by code/data attached to names","var1 ← 1 2 3 4 5 6 7 8
var2 ← 1 2 3 4 5 6 7 8 9
⎕← ⎕SIZE 'var1' 'var2'","https://tio.run/##SyzI0U2pTMzJT///vyyxyFDhUdsEBUMFIwVjBRMFUwUzBXMFCy6ghBE2CQVLrkd9U0ESQCrYM8pVQR1khjqYMlL//x8A"
"bytes←⎕WA","Workspace available (unused)","⎕← ⎕WA
var ← 1E7⍴'A'
⎕← ⎕WA","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVLgjV1likQKIZ@hq/qh3i7qjOhey9P//AA"
"captured_output←⎕CMD cmd","Execute Microsoft Windows cmd (synonym of ⎕SH)","⎕← ⎕CMD 'dir /'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlLOvi4J6SmaRgr76//8A"
"class_hierarchy←⎕CLASS ref","Class hierarchy for a class/instance",":Class Animal
:EndClass
 
:Class Bird: Animal
:EndClass
 
:Class Parrot: Bird
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WMExLzM3MYfLyjUvBSzApcAFlXHKLEqxwiMfkFhUlF9iBVaHkP//PyA/J6dS4VHbBIVHfVP9XMOhCrmAPKigs49jcLACWB0A"
"errno←⎕EN","Error number for last reported APL error","∇ r←Foo
  :Trap 0
      ÷0
  :EndTrap
  r←⎕EN
∇
⎕← Foo","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJbvn5XAoKViFFiQUKBkAWCBzeDmJZuealgISBTJDCR31TXf24gNq4gCwgXwGo8/9/AA"
"names←⎕XSI","Full names of functions on the stack",":Namespace yy
     ∇ r←foo
       r←zz.goo
     ∇
:EndNamespace
:Namespace zz
     ∇ r←goo
       r←⎕XSI
     ∇
:EndNamespace","https://tio.run/##SyzI0U2pTMzJT///38ovMTe1uCAxOVWhspJLAQQedbQrFD1qm5CWnw8RUABzq6r00mEiQCVcVq55KXDNXEjmVFWhmpOOas6jvqkRwZ44zPn/X9MvWKGigkvTGUwpK@tVVuoBXQIA"
"names←⎕FLIB folder","List component files in the specified folder","'fileA' ⎕FCREATE 0
'fileB' ⎕FCREATE 0
⎕← ⎕FLIB '.'","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUV3hUd9UN@cgV8cQVwUDLrCgE5ogkPOobQJYzMfTSUFdT/3/fwA"
"names←⎕REFS name","List the names referenced by a function","∇ Options;opts;inp
 ⍝ requests and executes an option
  opts ←'input' 'report' 'end'
 IN:inp←Ask'option:'
  →EX⍴⍨(⊂inp)∊opts
  ⎕←'invalid option. select from',opts ⋄ →IN
 EX:→EX+opts⍳⊂inp
  input ⋄ →IN
  report ⋄ →IN
 END:
∇
⎕← ⎕REFS 'Options'","https://tio.run/##VZC9CsIwFIX3PMXdovjzAHUSrNClgi5dS3uVYm1ik4quIipKRQRHd3d9orxITRoH3W5yzvnu4YY87cSbMGWzqlLHA4y4TFgmeoxL0UsyTkCVD8hxWaCQAsIsBlxjVEg0D2C1nYAZBKj9lepMISnQHDnLzYBZTAl4vqMVbeiLObUpR3/ryM0NVPlW5bOhTlvtaarjydCMeLlb5CpMk/i7rAsCU4wkTHO2oG27@LwzJM8n4AZOzWwZQZUvC9WwutivE2zFv7A/cIg@A7GbTYGxO5wA/Z6FVtUH"
"names←⎕SI","Vector of names of functions on the stack","∇ r←foo
  r←goo
∇
∇ r←goo
  r←⎕SI
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJafn5XApgVjqQBRTlgsmkw2Ue9U0N9gSJ//8PVA4A"
"numvec←⎕NC names","Class of each name (fractional if names is nested)","var←42
∇ r←Foo
  r←var
∇
Sum←+⌿
Swap←{⍵ ⍺⍺ ⍺}

⎕← ⎕NC '42' 'nothing' 'var' 'Foo' 'Sum' 'Swap'","https://tio.run/##SyzI0U2pTMzJT///vyyx6FHbBBMjrkcd7Qogplt@PpcCmAWUAolyBZfmAnnaj3r2cwWXJxYA2dWPercqPOrdBUQgqpaL61HfVKC4ApDyc1ZQNzFSV1DPyy/JyMxLB7KABgFJoMFAEmgYiASao/7/PwA"
"numvec←⎕LC","Lines at which each function on stack is suspended","∇ r←foo
 ⍝ next line is line 2
  r←goo
∇
∇ r←goo
  r←⎕LC  ⍝ this is line 1
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJafn5XAqPeucq5KVWlCjkZOalKmQWQ2gjLgWwknSgEqByLpgWEB8i86hvqo@zAlh7SQZQG0ynIUjt//9AswE"
"numvec←⎕TS","Current time (y m d h m s ms)","⎕← ⎕TS","https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5CsUpaYVpRZn/H/UN/VR2wQFIBUS/P8/AA"
"r←⎕NEXISTS files","Return 1 if files exist, else 0","⎕← ⎕NEXISTS 'file.txt'
'abc' ⎕NPUT 'file.txt'
⎕← ⎕NEXISTS 'file.txt'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlJ9rhGdwSLCCelpmTqpeSUWJOpd6YlKyOlguIDQEWQKfrv//AQ"
"r←⎕NR name","Source of function or operator as a nested vector","Foo←{
    ⍺←2
    ⍵*÷⍺
}

⎕← ⎕NR 'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhGouBSB41LsLyDaCsrdqHd4OFOGq5eJ61DcVKKEApPyCFNSBWtT//wcA"
"r←⎕CR name","Source of function or operator as a character matrix","Foo←{
    ⍺←2
    ⍵*÷⍺
}

⎕← ⎕CR 'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhGouBSB41LsLyDaCsrdqHd4OFOGq5eJ61DcVKKEApJyDFNSBWtT//wcA"
"r←⎕CSV data","Convert CSV data to APL matrix","⎕← ⎕CSV ⊂'here,42,there' 'this,1966,that'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlHNwmMKjrib1jNSiVB0TI50SEENdQb0kI7NYx9DSzAwoklii/v8/AA"
"r←⎕FAVAIL","1 if file system is available, else 0","⎕← ⎕FAVAIL","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlJtjmKOnz///AA"
"r←⎕OR name","Object representation (variable) of function, operator, or namespace","Foo←{
  ⍺+⍵
}
⎕←⎕OR 'Foo'
⎕←≢⎕OR 'Foo'
⎕←≡⎕OR 'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhGouBYVHvbu0H/Vu5arletQ3FSgGJP2DFNSBCtRhIp2LsAkuRBL8/x8A"
"r←⎕STACK","Definition of each function on the stack","∇ r←foo
  r←⍎'goo'
∇
∇ r←goo
  r←⎕STACK
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJafn5XApg1qPePvX0/Hx1LqAUF0w6HSHdNzU4xNHZGyT1/z9QGwA"
"r←⎕STATE name","Details of the usage of name at each level of the stack","∇ r←foo;foo
  foo←{⍎⍵}
  r←foo 'goo'
∇
∇ r←goo;foo
  r←⎕STATE 'foo'
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJafn51kDMpaAAJIH86ke9fY96t9YCBaDSCurp@fnqXEANXDBN6XBNIN6jvqnBIY4hrgrqaVCF//8DWQA"
"r←⎕VR name","Source of function or operator as a simple vector","Foo←{
    ⍺←2
    ⍵*÷⍺
}

⎕← ⎕VR 'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhGouBSB41LsLyDaCsrdqHd4OFOGq5eJ61DcVKKEApMKCFNSBWtT//wcA"
"r←0 ⎕JSON data","Convert JSON text to APL array","⎕← 0 ⎕JSON '[1,2,""many""]'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFIAMr2B/PwX1aEMdIx2l3MS8SqVY9f//AQ"
"r←1 ⎕JSON data","Convert APL array to JSON text","⎕← 1 ⎕JSON 1 2 'many'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYAMr2B/PyDLSEE9NzGvUv3/fwA"
"r←type ⎕DR x","Interpret internal representation as array of type 'type'","⎕← 11 ⎕DR 42
⎕← 80 ⎕DR 42
⎕← 83 ⎕DR 0 0 1 0 1 0 1 0
⎕← 80 ⎕DR 0 0 1 0 1 0 1 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDRWALJcgBRMjLqiQhQGmkDFUyAAIDREYQwua/P//AA"
"refs←⎕INSTANCES class","Current instances of class",":Class Animal
:EndClass
 
:Class Bird: Animal
:EndClass
 
:Class Parrot: Bird
:EndClass

(Eeyore←⎕NEW Animal).⎕DF 'Eeyore'
(Polly ← ⎕NEW Parrot).⎕DF 'Polly'

⎕← ⎕INSTANCES Animal
⎕← ⎕INSTANCES Bird","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WMExLzM3MYfLyjUvBSzApcAFlXHKLEqxwiMfkFhUlF9iBVaHJM@l4ZpamV@U@qhtwqO@qX6u4VAjNPWAXBc3BXWItDqXRkB@Tk6lAlCdAlQhxES4QrC8OhcXkAtV5OkXHOLo5@waDHMWNimQe/7/BwA"
"tdno←⎕TID","The number of the current thread","⎕← ⎕TID
⎕← {⎕TID}&⍬
⎕← {⎕TID}&⍬
⎕← ⎕TID","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVIinCxeUVw3h1qo96l2DTwwi9P8/AA"
"tdno←⎕TCNUMS tdno","The child thread numbers of the given thread numbers","⎕← ⎕TCNUMS 0
⎕DL&0.1
⎕← ⎕TCNUMS 0
⎕DL&0.3
⎕← ⎕TCNUMS 0
⎕DL 0.2
⎕← ⎕TCNUMS 0
⎕DL 0.2
⎕← ⎕TCNUMS 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVIizX6hvsIIBF5Dt4qNmoGfIhUfSGKekgoGeEamS//8DAA"
"tdres←⎕TSYNC tdno","Wait for threads tdno to terminate and return results","t ← ⎕DL&2
⎕← ⎕TS
⎕TSYNC t
⎕← ⎕TS","https://tio.run/##SyzI0U2pTMzJT///v0ThUdsEhUd9U1181Iy4gDSUGxLMBSYj/ZwVSlDE//8HAA"
"tktype←⎕TPOOL","Type of each token in the token pool","'hello' 'world' ⎕TPUT¨3 1
⎕←⎕TPOOL
⎕←⎕TGET 1
⎕←⎕TPOOL","https://tio.run/##SyzI0U2pTMzJT///Xz0jNScnX11BvTy/KCdFXeFR39SQgNCQQyuMFQy5gJxHbRPAQv7@Pkhcd9cQDOn//wE"
"tns←⎕FNUMS","Vector containing tie numbers of tied files","'file1.dcf' ⎕FCREATE 0
'file2.dcf' ⎕NCOPY 'file1.dcf'
'file2.dcf' ⎕FTIE 0
⎕←⎕FNUMS","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUC8lOU1d4VHfVDfnIFfHEFcFAy6whBFcws/ZPyBSAUk1ugK3EE@QNiDrUdsEEN8v1Df4/38A"
"type←⎕DR x","Return internal data type of x","⎕← ⎕DR 1 0 1 1 0
⎕← ⎕DR 12
⎕← ⎕DR 12345
⎕← ⎕DR 12345678
⎕← ⎕DR 12.344
⎕← ⎕DR 1E2345
⎕← ⎕DR 12J34
⎕← ⎕DR 'abc'
⎕← ⎕DR '⍺*⎕'
⎕← ⎕DR '𐀁𐀂𐀃'
⎕← ⎕DR 123 'abc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlEuQgqGCARADSS5UYSN0vrGJKRYhM3MLdFE9YxMTNDFXbLq9jNGUqScmJaujCT3q3aUFZKILf5jQ0AjETUDcrI7hLIhJ//8DAA"
"user_name←⎕AN","User (login) name","⎕← ⎕AN","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlKPf//8A"
"t←0 ⎕NINFO tns/files","Return names for tns/files","⎕← 0 (⎕NINFO⍠1) '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFDSALD9PPzf/R70LDDUV1PW11P//BwA"
"t←1 ⎕NINFO tns/files","Return types (0:unknown, 1:directory, 2:file, 3:char-device, 4:sym-link, 5:block-dev, 6:FIFO. 7:socket) for tns/files","⎕← ⍉⊃,/↑¨ 1 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgVDBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←11 ⎕NINFO tns/files","Return whether readable (1:yes, 0:no, ¯1:unknown) for tns/files","⎕← ⍉⊃,/↑¨ 11 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgVDQwUDBQ2glJ@nn5v/o94FhpoK6lrqCur6Wur//wMA"
"t←12 ⎕NINFO tns/files","Return whether writeable (1:yes, 0:no, ¯1:unknown) for tns/files","⎕← ⍉⊃,/↑¨ 12 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgVDIwUDBQ2glJ@nn5v/o94FhpoK6lrqCur6Wur//wMA"
"t←13 ⎕NINFO tns/files","Return last UTC modification time (DDN-style) for tns/files","⎕← ⍉⊃,/↑¨ 3 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgVjBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←14 ⎕NINFO tns/files","Return last UTC access time (DDN-style) for tns/files","'hello world' ⎕NPUT 'hw.txt'
⎕← 9 ⎕NINFO 'hw.txt'","https://tio.run/##SyzI0U2pTMzJT///Xz0jNScnX6E8vygnRV3hUd9Uv4DQEAX1jHK9kooSdS6gwKO2CQqWYBlPPzd/uNT//wA"
"t←2 ⎕NINFO tns/files","Return size (in bytes) for tns/files","⎕← ⍉⊃,/↑¨ 2 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgUjBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←3 ⎕NINFO tns/files","Return last local modification time (⎕TS-style) for tns/files","⎕← ⍉⊃,/↑¨ 3 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgVjBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←4 ⎕NINFO tns/files","Return owner user ID for tns/files","⎕← ⍉⊃,/↑¨ 4 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgUTBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←5 ⎕NINFO tns/files","Return owner name for tns/files","⎕← ⍉⊃,/↑¨ 5 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgVTBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←6 ⎕NINFO tns/files","Return hidden attribute for tns/files","⎕← ⍉⊃,/↑¨ 6 0 (⎕NINFO⍠1) '*' '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@6mrW0X/UNvHQCgUzBQMFDaCMn6efm/@j3gWGmgrqWuoK6vpa6v//AwA"
"t←8 ⎕NINFO tns/files","Return current file position for tns/files","'hello world' ⎕NPUT 'hw.txt'
tn ← 'hw.txt' ⎕NTIE 0
⎕← ⎕NREAD tn 80 5
⎕← 8 ⎕NINFO tn","https://tio.run/##SyzI0U2pTMzJT///Xz0jNScnX6E8vygnRV3hUd9Uv4DQEAX1jHK9kooSda6SPIVHbRPgfLCCEE9XBQMuIAskAxIIcnV0UQCqtDBQMIWJW4BlPP3c/IEy//8DAA"
"t←9 ⎕NINFO tns/files","Return last local access time (⎕TS-style) for tns/files","'hello world' ⎕NPUT 'hw.txt'
⎕← 9 ⎕NINFO 'hw.txt'","https://tio.run/##SyzI0U2pTMzJT///Xz0jNScnX6E8vygnRV3hUd9Uv4DQEAX1jHK9kooSdS6gwKO2CQqWYBlPPzd/uNT//wA"
"⎕names←⎕FNAMES","Names of tied files in same order as ⎕FNUMS","'file1' ⎕FCREATE 0
'file2' ⎕FCREATE 0
⎕← ⎕FNAMES","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUF3hUd9UN@cgV8cQVwUDLrCgEZogkPOobQJYzM/R1zX4/38A"
"⎕TNAME←{tdname}","Report/set the name (tdname) of the current thread","⎕← ⎕TNAME
⎕TNAME ← 'TIO'
⎕← ⎕TNAME","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVIifo68rF4yhABJVD/H0V@dCU/L/PwA"
"ax_mx←⎕FRDAC tn {pn}","Read access matrix of file tied with number tn (pn is optional passnumber)","'sales.dcf' ⎕FCREATE 1
(3 3⍴28 2105 16385 0 2073 16385 31 ¯1 0) ⎕FSTAC 1
⎕←⎕FRDAC 1","https://tio.run/##SyzI0U2pTMzJT///X704MSe1WC8lOU1d4VHfVDfnIFfHEFcFQy4NYwXjR71bjCwUjAwNTBUMzYwtTBUMFIwMzI2hHGNDhUPrDRUMNMEag0McnYHagMxHbRNAAkEuIIH//wE"
"valid nums←{seps} ⎕VFI text","Validate numeric input: returns Boolean validity mask and numeric vector of converted input","⎕← ⎕VFI '2 -2 ¯2'
⎕← ',' ⎕VFI '3.9,2.4,,76,'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVJibp4K6kYKukcKh9UbqXFAJdR11uKSxnqWOkZ6Jjo65mY76//8A"
"vec←⎕NREAD tn type n {offset}","Read n items of specified type from file tied with number tn","'abc' ⎕NPUT 'file.txt'
tn ← 'file.txt' ⎕NTIE 0
⎕←⎕NREAD tn 80 ¯1
⎕←⎕NREAD tn 83 ¯1 0","https://tio.run/##SyzI0U2pTMzJT///Xz0xKVld4VHfVL@A0BAF9bTMnFS9kooSda6SPIVHbROQRMCKQjxdFQy4gCygHIgf5OroogBUamGgcGi9ITYJY5CEgsH//wA"
"children←{class} ⎕WN parent","Child objects (of class) of parent","'#.t1' ⎕WC 'Timer'
'#.t2' ⎕WC 'Timer'
⎕← ⎕WN '#'","https://tio.run/##SyzI0U2pTMzJT///X11Zr8RQXeFR39RwZwX1kMzc1CJ1LpCgEbogkPeobQJY0E9BXVn9/38A"
"cn←x ⎕FAPPEND tn {pn}","Append x to end of file tied with number tn (pn is optional passnumber)","tn ← 'file.dcf' ⎕FCREATE 0
⎕←⎕FSIZE tn

123 'abc' ⎕FAPPEND tn
123 ⎕FAPPEND tn
'abc' ⎕FAPPEND tn

⎕←⎕FSIZE tn","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLiAHKA0SCjYM8pVoSSPi8vQyFhBPTEpGaLSMSDA1c8FJAESRxXBpgrTxP//AQ"
"cns←{fchk_opts} ⎕FCHK file","Inspect and optionally repair file","⎕FUNTIE 'file.dcf' ⎕FCREATE 0
⎕← ⎕FCHK 'file.dcf'","https://tio.run/##SyzI0U2pTMzJT////1HfVLdQvxBPVwX1tMycVL2U5DR1BZCgc5CrY4irggEXkPOobQJEzMMbSdn//wA"
"instance←⎕NEW class {conargs}","Create an instance of class",":Class c
    :Field public randomNumber
    ∇Make
      :Access public
      :Implements constructor
      ⎕←'Created at',⎕TS
      ⎕RL ← ⍬
      randomNumber ← ?42
    ∇
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WCGZSwEIrNwyU3NSFApKk3IykxWKEvNS8nP9SnOTUovA0o862n0Ts1PBbKBix@TkVKBWiGqYoGduQU5qbmpeCdDM/LzikqLS5JL8Iqjso76pj9omqDsXpSaWpKYoJJao6wCFQoIR0kE@CkAVCo9610DFkB0BlrI3MYI5hsvKNS8F7P7//zMNIRr7pvq5hgO9A2S4@CgYcmUaYYiDBTSAGjKNNPWQzQcA"
"names←{init_chars} ⎕NL nums","List names of existing specified class(es), optionally filtered (negative for nested result)","⎕CY'dfns'
⎕← 'gl' ⎕NL 3 4","https://tio.run/##SyzI0U2pTMzJT////1HfVOdI9ZS0vGJ1LiD7UdsEBfX0HHUFINvPR8FYweT/fwA"
"names←{init_chars} ⎕NL ¯1","List names of existing line labels, optionally filtered","∇ foo
  first:
  two←2
  third:
  ⎕←⎕NL ¯1
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0Jafj6XgkJaZlFxiRWQUVKe/6htghGIlZFZlAISetQ3FSgEJP18FA6tN@QC6vr/H6gNAA"
"names←{init_chars} ⎕NL ¯2","List names of existing arrays, optionally filtered","∇ foo
  first:
  two←2
  third:
  ⎕←⎕NL ¯2
∇","https://tio.run/##SyzI0U2pTMzJT////1FHu0Jafj6XgkJaZlFxiRWQUVKe/6htghGIlZFZlAISetQ3FSgEJP18FA6tN@IC6vr/H6gNAA"
"names←{init_chars} ⎕NL ¯3","List names of existing functions, optionally filtered","⎕CY'dfns'
⎕← 'gl' ⎕NL ¯3","https://tio.run/##SyzI0U2pTMzJT////1HfVOdI9ZS0vGJ1LiD7UdsEBfX0HHUFINvPR@HQeuP//wE"
"names←{init_chars} ⎕NL ¯4","List names of existing operators, optionally filtered","⎕CY'dfns'
⎕← 'gl' ⎕NL ¯4","https://tio.run/##SyzI0U2pTMzJT////1HfVOdI9ZS0vGJ1LiD7UdsEBfX0HHUFINvPR@HQepP//wE"
"names←{init_chars} ⎕NL ¯9","List names of existing objects, optionally filtered","⎕CY'dfns'
⎕← ⎕NL ¯9","https://tio.run/##SyzI0U2pTMzJT////1HfVOdI9ZS0vGJ1LiD7UdsEBSDl56NwaL3l//8A"
"r←⎕FHIST tn {pn}","Return history (user/time of last operations) of file tied with number tn (pn is optional passnumber)","tn ← 'file.dcf' ⎕FCREATE 0
⎕←⎕FHIST tn","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLiAHKA0SMjDMzhEoSTv/38A"
"r←⎕FRDCI tn cn {pn}","Size in bytes, user and timestamp of last update to component cn in file tied with number tn (pn is optional passnumber)","tn ← 'file.dcf' ⎕FCREATE 0
'abc' ⎕FAPPEND tn
⎕← ⎕FRDCI tn 1","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLjUE5OSIUKOAQGufi4KJXlcQB5IC0gwyMXZEyikYPj/PwA"
